profile_set,scoring_config,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
simplified,w_only,4096,200,0.725,0.7560975609756098,0.5294117647058824,0.8125,0.7551020408163265,0.75
simplified,w_only,4096,400,0.8,0.8192771084337349,0.6623376623376623,0.8153846153846154,0.8433734939759037,0.8478260869565217
simplified,w_only,4096,700,0.8542857142857143,0.8689655172413793,0.7622377622377622,0.8818897637795275,0.9020979020979021,0.8591549295774648
simplified,w_only,4096,1000,0.893,0.9018691588785047,0.8372093023255814,0.9120879120879121,0.9285714285714286,0.8911917098445595
simplified,w_only,5120,50,0.34,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3076923076923077
simplified,w_only,5120,100,0.53,0.5,0.5625,0.5238095238095238,0.6190476190476191,0.4583333333333333
simplified,w_only,5120,200,0.655,0.6666666666666666,0.5142857142857142,0.65,0.7954545454545454,0.625
simplified,w_only,5120,400,0.69,0.6463414634146342,0.6323529411764706,0.7093023255813954,0.76,0.6966292134831461
simplified,w_only,5120,700,0.7457142857142857,0.7191780821917808,0.7016129032258065,0.7452229299363057,0.8166666666666667,0.7516339869281046
simplified,w_only,5120,1000,0.779,0.7596153846153846,0.7430167597765364,0.783410138248848,0.8404255319148937,0.7692307692307693
simplified,w_only,6144,50,0.38,0.375,0.42857142857142855,0.375,0.4444444444444444,0.3
simplified,w_only,6144,100,0.48,0.4782608695652174,0.625,0.5,0.5789473684210527,0.2727272727272727
simplified,w_only,6144,200,0.625,0.6444444444444445,0.6470588235294118,0.5405405405405406,0.75,0.5454545454545454
simplified,w_only,6144,400,0.7425,0.7586206896551724,0.734375,0.7037037037037037,0.825,0.6931818181818182
simplified,w_only,6144,700,0.84,0.8344370860927153,0.8288288288288288,0.8366013071895425,0.8979591836734694,0.7971014492753623
simplified,w_only,6144,1000,0.888,0.8798076923076923,0.8875739644970414,0.8803827751196173,0.9278846153846154,0.8640776699029126
simplified,w_g_static,42,50,0.24,0.1111111111111111,0.3333333333333333,0.25,0.23076923076923078,0.2727272727272727
simplified,w_g_static,42,100,0.42,0.3181818181818182,0.35294117647058826,0.5714285714285714,0.5,0.2857142857142857
simplified,w_g_static,42,200,0.535,0.5581395348837209,0.3611111111111111,0.7272727272727273,0.5238095238095238,0.45714285714285713
simplified,w_g_static,42,400,0.67,0.7159090909090909,0.5428571428571428,0.7790697674418605,0.654320987654321,0.6266666666666667
