profile_set,scoring_config,seed,g_credential_access_travel_match,g_credential_access_asset_criticality,g_credential_access_threat_intel,g_credential_access_time_anomaly,g_credential_access_device_trust,g_credential_access_pattern_history,g_threat_intel_match_travel_match,g_threat_intel_match_asset_criticality,g_threat_intel_match_threat_intel,g_threat_intel_match_time_anomaly,g_threat_intel_match_device_trust,g_threat_intel_match_pattern_history,g_lateral_movement_travel_match,g_lateral_movement_asset_criticality,g_lateral_movement_threat_intel,g_lateral_movement_time_anomaly,g_lateral_movement_device_trust,g_lateral_movement_pattern_history,g_data_exfiltration_travel_match,g_data_exfiltration_asset_criticality,g_data_exfiltration_threat_intel,g_data_exfiltration_time_anomaly,g_data_exfiltration_device_trust,g_data_exfiltration_pattern_history,g_insider_threat_travel_match,g_insider_threat_asset_criticality,g_insider_threat_threat_intel,g_insider_threat_time_anomaly,g_insider_threat_device_trust,g_insider_threat_pattern_history
simplified,w_g_learned,42,1.1122063263026,1.0117171455181428,1.0497439997990712,1.0139325225457223,1.2246881118122193,1.2333043702240858,1.11033683184162,1.063478737070133,1.1362351584579164,1.0649865797590718,1.0582902735537827,1.0570855779257977,1.071192975492518,1.1631726920903778,1.1673943701312592,1.1642973701616723,1.014845136419799,1.0160758739091336,1.0744553654770026,1.1831625856861714,1.115068832795344,1.1782160820732956,1.018860153530824,1.0188467651804016,1.0838522511474977,1.0961883101127001,1.143367230083523,1.0976497989174892,1.0292507755832174,1.0276903962544972
simplified,w_g_learned,123,1.0845550947141718,1.0108591169602055,1.0474280432350076,1.0090833119608011,1.2257794214630238,1.2235314678543612,1.1099323837827975,1.0670142291101856,1.2011374294520991,1.0662875751332395,1.044913584715815,1.0435134854738317,1.069896744361463,1.1467862792765349,1.1694368253037284,1.154546492113868,1.0169759284622255,1.016472129644698,1.0377619607735007,1.1725932640743073,1.1366018528218234,1.1806001536347241,1.0283154044208465,1.0257219861409992,1.07204603207137,1.0971736221361663,1.1681554290797753,1.0957308942325024,1.0368398448066811,1.0362034898210146
simplified,w_g_learned,456,1.07368892987172,1.0081861287290592,1.0470267578682566,1.0077450925933478,1.1781586732860312,1.181433550688473,1.115244091023039,1.0612602927549044,1.1353236366875235,1.0596714741376867,1.038842552923979,1.03768868817535,1.0869862631862333,1.1312665045134704,1.1846983413440326,1.1350983447870866,1.0220982681581803,1.0223894583596764,1.0513820009852848,1.1753990879314875,1.1010659459729104,1.1833487463441774,1.0193027464151128,1.0207114819563063,1.0778139703000322,1.0914397155264326,1.2238775219124371,1.0851025608972011,1.0364090135236834,1.0351028152839394
simplified,w_g_learned,789,1.1737294340968156,1.0163905971365823,1.0393905284629525,1.016563666262715,1.1600524113493926,1.1657494848234442,1.1555464626943557,1.1112742157055846,1.172282409955021,1.1109046171566943,1.0653450201942956,1.068702629040778,1.0909836756993558,1.1741220007387423,1.1055762448973412,1.1702168256623093,1.0149690056794822,1.0143453987311122,1.0763726818831025,1.1789760339793005,1.0980344419808885,1.1859861035064445,1.0163367935473173,1.015331867701185,1.1031687260064493,1.1233777080976877,1.1668989033652026,1.1214950324882444,1.0377944849019303,1.0380949144734513
simplified,w_g_learned,1024,1.0699668990761677,1.007470333766572,1.0303181792265987,1.0070942430678709,1.1602270907919139,1.1615126511012805,1.0900544563694314,1.0786113365651961,1.2507547336407805,1.0772015558353016,1.057186355168038,1.0571137811249045,1.0825095639024327,1.1897720445100288,1.2381077598374637,1.1964662743841774,1.0147670855117812,1.0134014433762022,1.050254925190346,1.1879340642547895,1.1185933886998023,1.193501300713024,1.0105757021321227,1.0112713063404293,1.0608788601703936,1.1003701526657828,1.1629919806601896,1.1036691633418954,1.0319314288502133,1.0310898462410751
simplified,w_g_learned,2048,1.127272169567229,1.0153355313634302,1.0474684460148609,1.0135163308717035,1.171634483734602,1.1760839544987303,1.1401946890471186,1.0665217861786784,1.1609858414364702,1.0658649401431965,1.0570666143263037,1.0625802676820024,1.1109548492711443,1.165931304984152,1.128681438393846,1.1740646352789161,1.0229364355916835,1.0237180451704848,1.0701560504049021,1.2031107715658103,1.106380903400188,1.1973285694505336,1.0156776224883415,1.016643320220371,1.1162368348890535,1.1089102251000187,1.2006293559600967,1.1068414652665473,1.0303497203982004,1.0316163460505103
simplified,w_g_learned,3072,1.0980672038553478,1.0217717131082251,1.0466296435581621,1.0194539378229972,1.1716799445191592,1.1806633465191272,1.1562083951057487,1.0558233318486294,1.1513010664500838,1.0573779173172766,1.06006191471654,1.0711701791437065,1.0858308951619742,1.1591848731171501,1.155768214946847,1.1537131267246303,1.0220267725992318,1.0236289603898272,1.0824183673322165,1.1879426932086883,1.074277283355728,1.1890940850164882,1.0197224198975239,1.0197813167669774,1.1305938426332993,1.1212672825494487,1.1993217374747371,1.1186613115738633,1.037460177563699,1.0384195620697474
simplified,w_g_learned,4096,1.1125429235891522,1.0219240841766306,1.0505186779427589,1.017884289972013,1.2103399857467756,1.2176338324292972,1.143282122341762,1.0708190455898206,1.1421375282092148,1.0672800745848754,1.0490149205190724,1.0497367599674419,1.06239578914123,1.1439850436886096,1.1359234315994964,1.1365552343233298,1.0187755817837603,1.0175615691164488,1.0715635346520767,1.1741561357703787,1.1299890478409358,1.1745799502517957,1.0171319485587969,1.0174283072636716,1.0857851522818367,1.0799271533754928,1.19948029031445,1.0714480213514723,1.0448028577873143,1.0487993248385683
simplified,w_g_learned,5120,1.0062110903002597,1.0096841800389933,1.0472793619401186,1.006541092126827,1.196775136211687,1.1841386664014024,0.9975227902853292,1.0461786548588015,1.2004420098488686,1.0474416209673174,1.0353524790267281,1.0331840305417004,0.9956403576958529,1.1410948442804911,1.1552714330039666,1.14693004612341,1.0277557502506747,1.0235046522532656,1.0093927720016305,1.1655501906035355,1.0960498890512942,1.1749117904173765,1.0256604881545146,1.02526312623976,0.9999561666011381,1.0939852787329474,1.203376837352085,1.099125629253205,1.0291439419113853,1.0225056917047852
simplified,w_g_learned,6144,1.1535422605448875,1.0148352803214682,1.0404444207351746,1.017737311052868,1.1882254448763363,1.1964971194846243,1.1347723080419907,1.0412161187504425,1.1548294777525394,1.0397961726580005,1.0480724136579096,1.0489120558610914,1.0999941331491674,1.159019335862465,1.1491265698865127,1.1599187812646652,1.0154038949119766,1.0174506363174955,1.05176200077353,1.2183494153021344,1.1026000555089033,1.2180037985979955,1.0254676215101628,1.0257438900815532,1.1140878231487061,1.0986051360116726,1.1904495373975734,1.1029512786976068,1.0305748261535808,1.0312666766528737
