seed,schedule,checkpoint,effective_ratio,cumulative_gt_acc,recent_50_gt_acc,w_frobenius,w_max,w_entropy,grad_mag_f0,grad_mag_f1,grad_mag_f2,grad_mag_f3,grad_mag_f4,grad_mag_f5,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
2048,fixed_optimal,1000,2.0,0.749,0.9,3.54909,1.878088,1.379962,0.008982,0.011893,0.011969,0.013356,0.008002,0.007553,0.815,0.68,0.705,0.81,0.735
3072,fixed_optimal,50,2.0,0.72,0.72,2.592883,0.977815,1.38467,0.008611,0.012131,0.015513,0.014207,0.006797,0.007158,0.714286,0.545455,1.0,0.636364,0.785714
3072,fixed_optimal,100,2.0,0.67,0.62,2.579695,1.057782,1.384054,0.009304,0.014621,0.014435,0.015472,0.008157,0.008388,0.705882,0.625,0.857143,0.545455,0.695652
3072,fixed_optimal,200,2.0,0.68,0.7,2.718736,1.197018,1.38285,0.010496,0.014218,0.01144,0.016524,0.008269,0.007484,0.71875,0.586957,0.769231,0.651163,0.7
3072,fixed_optimal,400,2.0,0.6825,0.84,3.067198,1.502698,1.378616,0.009466,0.009808,0.010127,0.010925,0.009748,0.009094,0.818182,0.614458,0.671233,0.710526,0.615385
3072,fixed_optimal,700,2.0,0.731429,0.88,3.569375,1.64333,1.38283,0.007529,0.011948,0.012638,0.011288,0.00643,0.005281,0.833333,0.683099,0.724138,0.744186,0.678082
3072,fixed_optimal,1000,2.0,0.752,0.8,3.88603,1.819443,1.378391,0.010188,0.011816,0.011871,0.014116,0.007626,0.008349,0.845,0.71,0.735,0.775,0.695
4096,fixed_optimal,50,2.0,0.6,0.6,2.285609,0.90059,1.385342,0.009443,0.01575,0.013683,0.017329,0.008446,0.008171,0.7,0.166667,0.461538,0.727273,0.8
4096,fixed_optimal,100,2.0,0.61,0.62,2.131639,0.936128,1.385108,0.011952,0.011541,0.013814,0.014526,0.01083,0.010564,0.727273,0.466667,0.5,0.647059,0.666667
4096,fixed_optimal,200,2.0,0.59,0.58,1.970643,0.916254,1.384134,0.010824,0.016112,0.012633,0.017765,0.008489,0.008403,0.727273,0.6,0.5,0.512821,0.6
4096,fixed_optimal,400,2.0,0.625,0.68,2.147234,1.067241,1.385793,0.010799,0.012787,0.011802,0.01556,0.009601,0.008876,0.746988,0.641026,0.558442,0.591549,0.582418
4096,fixed_optimal,700,2.0,0.671429,0.76,2.488864,1.135065,1.384349,0.008629,0.015226,0.011653,0.016633,0.007004,0.005636,0.809859,0.626761,0.624113,0.637037,0.657143
