seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
1024,gt_aligned,0.0,400,0.805,1.0,3.842362,1.81693,0.898734,0.575,0.917647,0.828947,0.8
1024,gt_aligned,0.0,700,0.882857,1.0,6.353588,2.909445,0.93985,0.75,0.952381,0.898551,0.876812
1024,gt_aligned,0.0,1000,0.918,1.0,8.557868,3.710064,0.96,0.82,0.965,0.93,0.915
2048,gt_aligned,0.0,50,0.24,0.35,0.526853,0.285294,0.727273,0.166667,0.0,0.111111,0.111111
2048,gt_aligned,0.0,100,0.31,0.4,0.759177,0.438248,0.833333,0.208333,0.217391,0.0625,0.263158
2048,gt_aligned,0.0,200,0.52,0.85,1.635096,0.865715,0.921053,0.52381,0.372093,0.2,0.571429
2048,gt_aligned,0.0,400,0.685,1.0,3.456519,1.65208,0.961538,0.731707,0.60241,0.315068,0.785714
2048,gt_aligned,0.0,700,0.8,1.0,5.924482,2.612437,0.978102,0.854305,0.705882,0.571429,0.874126
2048,gt_aligned,0.0,1000,0.858,1.0,8.104089,3.486317,0.985,0.89,0.795,0.71,0.91
3072,gt_aligned,0.0,50,0.3,0.4,0.5186,0.347932,0.142857,0.090909,0.0,0.272727,0.714286
3072,gt_aligned,0.0,100,0.4,0.55,0.797787,0.533553,0.294118,0.5,0.0,0.272727,0.73913
3072,gt_aligned,0.0,200,0.51,0.85,1.515508,0.913413,0.53125,0.717391,0.179487,0.27907,0.825
3072,gt_aligned,0.0,400,0.7,0.9,3.382505,1.920477,0.779221,0.843373,0.465753,0.421053,0.923077
3072,gt_aligned,0.0,700,0.804286,0.95,5.787442,2.882662,0.876812,0.908451,0.689655,0.573643,0.952055
3072,gt_aligned,0.0,1000,0.86,1.0,7.944302,3.711169,0.915,0.935,0.775,0.71,0.965
4096,gt_aligned,0.0,50,0.32,0.45,0.512386,0.26432,0.2,0.0,0.153846,0.454545,0.7
4096,gt_aligned,0.0,100,0.39,0.5,0.772745,0.469499,0.409091,0.266667,0.181818,0.352941,0.666667
4096,gt_aligned,0.0,200,0.565,0.75,1.703749,0.919538,0.704545,0.566667,0.428571,0.307692,0.777778
4096,gt_aligned,0.0,400,0.745,0.95,3.673485,1.90008,0.843373,0.820513,0.636364,0.492958,0.879121
4096,gt_aligned,0.0,700,0.847143,1.0,6.203045,2.802028,0.908451,0.901408,0.794326,0.703704,0.921429
4096,gt_aligned,0.0,1000,0.892,1.0,8.366709,3.688444,0.935,0.93,0.85,0.8,0.945
5120,gt_aligned,0.0,50,0.34,0.2,0.511642,0.225011,0.25,0.363636,0.076923,0.666667,0.5
5120,gt_aligned,0.0,100,0.49,0.75,0.925095,0.574779,0.25,0.692308,0.086957,0.545455,0.714286
5120,gt_aligned,0.0,200,0.59,0.7,1.776214,1.028767,0.634146,0.8,0.117647,0.416667,0.836735
5120,gt_aligned,0.0,400,0.715,1.0,3.53482,1.907324,0.802632,0.910112,0.338235,0.530864,0.906977
5120,gt_aligned,0.0,700,0.807143,1.0,5.869965,2.88129,0.890511,0.945578,0.548872,0.678832,0.945205
5120,gt_aligned,0.0,1000,0.852,0.95,7.940845,3.715051,0.925,0.96,0.66,0.755,0.96
6144,gt_aligned,0.0,50,0.38,0.5,0.63045,0.331091,0.769231,0.5,0.0,0.416667,0.0
6144,gt_aligned,0.0,100,0.46,0.6,1.038619,0.626682,0.884615,0.444444,0.071429,0.454545,0.2
6144,gt_aligned,0.0,200,0.6,0.8,1.798903,0.948536,0.926829,0.454545,0.522727,0.594595,0.488889
6144,gt_aligned,0.0,400,0.775,1.0,3.763733,1.756899,0.963855,0.689189,0.714286,0.802469,0.694118
6144,gt_aligned,0.0,700,0.868571,1.0,6.307583,2.640642,0.977444,0.814815,0.851351,0.884892,0.82069
6144,gt_aligned,0.0,1000,0.908,1.0,8.536925,3.550852,0.985,0.875,0.89,0.92,0.87
42,gt_aligned,0.05,50,0.4,0.55,0.597597,0.303126,0.8,0.230769,0.285714,0.6,0.2
42,gt_aligned,0.05,100,0.54,0.7,0.971448,0.423819,0.833333,0.518519,0.411765,0.52381,0.411765
42,gt_aligned,0.05,200,0.66,0.8,1.813055,0.791039,0.914286,0.697674,0.581395,0.636364,0.485714
42,gt_aligned,0.05,400,0.815,1.0,3.733394,1.618309,0.963415,0.845238,0.746667,0.804878,0.701299
42,gt_aligned,0.05,700,0.89,1.0,6.190959,2.631846,0.978723,0.905109,0.847826,0.890411,0.826087
42,gt_aligned,0.05,1000,0.923,1.0,8.251416,3.410883,0.985,0.935,0.895,0.92,0.88
123,gt_aligned,0.05,50,0.42,0.45,0.5471,0.208939,0.625,0.222222,0.357143,0.454545,0.5
123,gt_aligned,0.05,100,0.48,0.7,0.80575,0.354312,0.666667,0.294118,0.384615,0.6,0.473684
123,gt_aligned,0.05,200,0.655,0.85,1.674164,0.792794,0.8125,0.581395,0.47619,0.795455,0.641026
123,gt_aligned,0.05,400,0.81,1.0,3.578328,1.578311,0.917808,0.761905,0.657534,0.891566,0.816092
123,gt_aligned,0.05,700,0.888571,1.0,5.930969,2.594082,0.955224,0.865772,0.798507,0.93617,0.887324
123,gt_aligned,0.05,1000,0.922,1.0,7.983196,3.40287,0.97,0.9,0.865,0.955,0.92
456,gt_aligned,0.05,50,0.42,0.5,0.594536,0.294335,0.125,0.333333,0.615385,0.25,0.75
456,gt_aligned,0.05,100,0.45,0.5,0.823906,0.415328,0.3125,0.25,0.578947,0.434783,0.636364
456,gt_aligned,0.05,200,0.685,0.95,1.794496,0.901635,0.617647,0.472222,0.813953,0.695652,0.780488
456,gt_aligned,0.05,400,0.835,1.0,3.74919,1.792498,0.813333,0.727273,0.9,0.822785,0.898876
456,gt_aligned,0.05,700,0.904286,1.0,6.095076,2.851247,0.895522,0.846715,0.937063,0.898551,0.939189
456,gt_aligned,0.05,1000,0.933,1.0,8.128579,3.608239,0.93,0.895,0.955,0.93,0.955
789,gt_aligned,0.05,50,0.38,0.4,0.616726,0.339728,0.545455,0.111111,0.2,0.555556,0.142857
789,gt_aligned,0.05,100,0.49,0.6,0.969671,0.612937,0.6875,0.208333,0.5,0.724138,0.333333
789,gt_aligned,0.05,200,0.62,0.9,1.822687,1.048625,0.861111,0.333333,0.583333,0.843137,0.468085
789,gt_aligned,0.05,400,0.795,1.0,3.706618,1.778573,0.933333,0.592593,0.84058,0.906977,0.719101
789,gt_aligned,0.05,700,0.88,1.0,6.143496,2.824295,0.963235,0.755245,0.920863,0.945205,0.816176
