seed,sweep,domain,mean_norm,std_norm,max_norm,min_norm,n_entities
456,0,user_behavior,1.0,8.599750569898517e-17,1.0000000000000002,0.9999999999999998,200
456,1,security,1.0132960835514593,0.011134509695026901,1.0363189995101383,0.9860122868902164,200
456,1,decision_history,1.031267478966143,0.02894282522142184,1.1306233771889513,0.9627547890947472,200
456,1,threat_intel,1.1127435630433988,0.055895052601254935,1.2763665902715924,0.9494097979160417,200
456,1,network_flow,1.3247175094525176,0.09583266955005137,1.61958535857608,1.0564668937338797,200
456,1,asset_inventory,1.6078642107241736,0.12295717760831272,1.9696652128856218,1.0631422483366486,200
456,1,user_behavior,1.6080858764067367,0.13098326143603395,1.98114679557862,1.0889480440087829,200
456,2,security,4.258539796991793,0.14024784587237796,4.564456479856726,3.8837219421683855,200
456,2,decision_history,9.715950977192167,0.15412722652622365,10.199269900777264,9.348073692039948,200
456,2,threat_intel,18.920377588822237,0.138204644675217,19.351169934845498,18.537686459026045,200
456,2,network_flow,31.849922153023154,0.15178470149413784,32.35848738171225,31.441909494295217,200
456,2,asset_inventory,44.82054273750694,0.15787142411402225,45.30901117257502,44.18530501273888,200
456,2,user_behavior,44.86676866031865,0.17455194110191,45.39122121643306,44.23408859171396,200
456,3,security,154.97904556869582,0.1471971067432897,155.2998764280499,154.60214451883633,200
456,3,decision_history,376.5130080490671,0.15742915416240066,377.0253388095436,376.1423351094799,200
456,3,threat_intel,757.0566507878451,0.14014444467072187,757.4958990663939,756.6694047715423,200
456,3,network_flow,1296.38695972702,0.15364907532235694,1296.90841117324,1295.9824736552557,200
456,3,asset_inventory,1835.8612914597504,0.15891510874551137,1836.3640497984227,1835.2317657743954,200
456,3,user_behavior,1835.8298613256932,0.1751675287714951,1836.36603893829,1835.2077693172082,200
456,4,security,6259.06467371501,0.14718414210203837,6259.386891931527,6258.688191351964,200
456,4,decision_history,15090.600545374222,0.1574792905084426,15091.112500465499,15090.229861497375,200
456,4,threat_intel,30153.168507410548,0.14019292558182117,30153.609066960074,30152.782123714973,200
456,4,network_flow,51446.364437102064,0.15369642409299442,51446.8866014207,51445.95939016356,200
456,4,asset_inventory,72739.66677790806,0.15895681810543397,72740.16940703944,72739.0363502,200
456,4,user_behavior,72739.63340982833,0.17527250895822807,72740.16940705276,72739.00979114254,200
456,5,security,248430.97196215802,0.14722658418970846,248431.2940668819,248430.59543006634,200
456,5,decision_history,599927.4320060514,0.15748209897501578,599927.9443074018,599927.0612524751,200
456,5,threat_intel,1200084.2694448922,0.14019405578061034,1200084.7100343695,1200083.8830770496,200
456,5,network_flow,2048901.0844825977,0.15369130798448366,2048901.606590001,2048900.6795799779,200
456,5,asset_inventory,2897718.0088600502,0.1589500005252567,2897718.511620476,2897717.378644535,200
456,5,user_behavior,2897717.9754900513,0.1752566239704235,2897718.511620476,2897717.3522026055,200
789,0,security,1.0,8.27097525232875e-17,1.0000000000000002,0.9999999999999998,200
789,0,decision_history,1.0,7.108895957933347e-17,1.0000000000000002,0.9999999999999998,200
789,0,threat_intel,1.0,7.570711667007544e-17,1.0000000000000002,0.9999999999999998,200
789,0,network_flow,1.0,7.364386412590295e-17,1.0000000000000002,0.9999999999999998,200
789,0,asset_inventory,1.0,6.798699777552591e-17,1.0000000000000002,0.9999999999999998,200
