method,seed,domain_pair,theta_logit,top_k,threshold,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
two_stage,6144,secxthr,0.06,1,,1,0,1,20,0.0,0.0,0.0
two_stage,6144,secxthr,0.06,2,,2,0,2,20,0.0,0.0,0.0
two_stage,6144,secxthr,0.06,3,,2,0,2,20,0.0,0.0,0.0
two_stage,6144,secxthr,0.06,5,,2,0,2,20,0.0,0.0,0.0
logit_only,6144,secxthr,0.01,,,10759,20,10739,0,0.0019,1.0,0.0037
logit_only,6144,secxthr,0.02,,,4357,20,4337,0,0.0046,1.0,0.0091
logit_only,6144,secxthr,0.03,,,1366,20,1346,0,0.0146,1.0,0.0289
logit_only,6144,secxthr,0.04,,,363,11,352,9,0.0303,0.55,0.0574
logit_only,6144,secxthr,0.05,,,51,2,49,18,0.0392,0.1,0.0563
logit_only,6144,secxthr,0.06,,,2,0,2,20,0.0,0.0,0.0
topk_only,6144,secxthr,,1,,200,7,193,13,0.035,0.35,0.0636
topk_only,6144,secxthr,,2,,400,13,387,7,0.0325,0.65,0.0619
topk_only,6144,secxthr,,3,,600,15,585,5,0.025,0.75,0.0484
topk_only,6144,secxthr,,5,,1000,17,983,3,0.017,0.85,0.0333
cosine,6144,secxthr,,,0.1,8822,20,8802,0,0.0023,1.0,0.0045
cosine,6144,secxthr,,,0.15,4932,20,4912,0,0.0041,1.0,0.0081
cosine,6144,secxthr,,,0.2,2524,20,2504,0,0.0079,1.0,0.0157
cosine,6144,secxthr,,,0.25,1157,19,1138,1,0.0164,0.95,0.0323
cosine,6144,secxthr,,,0.3,508,14,494,6,0.0276,0.7,0.053
cosine,6144,secxthr,,,0.35,200,8,192,12,0.04,0.4,0.0727
random,6144,secxthr,,,,235,0.1175,234.8825,19.8825,0.0005,0.0059,0.0009
two_stage,6144,decxthr,0.01,1,,300,6,294,9,0.02,0.4,0.0381
two_stage,6144,decxthr,0.01,2,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,6144,decxthr,0.01,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,6144,decxthr,0.01,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,6144,decxthr,0.02,1,,300,6,294,9,0.02,0.4,0.0381
two_stage,6144,decxthr,0.02,2,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,6144,decxthr,0.02,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,6144,decxthr,0.02,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,6144,decxthr,0.03,1,,300,6,294,9,0.02,0.4,0.0381
two_stage,6144,decxthr,0.03,2,,599,11,588,4,0.0184,0.7333,0.0358
two_stage,6144,decxthr,0.03,3,,897,12,885,3,0.0134,0.8,0.0263
two_stage,6144,decxthr,0.03,5,,1439,14,1425,1,0.0097,0.9333,0.0193
two_stage,6144,decxthr,0.04,1,,253,5,248,10,0.0198,0.3333,0.0373
two_stage,6144,decxthr,0.04,2,,429,10,419,5,0.0233,0.6667,0.045
two_stage,6144,decxthr,0.04,3,,531,11,520,4,0.0207,0.7333,0.0403
two_stage,6144,decxthr,0.04,5,,608,12,596,3,0.0197,0.8,0.0385
two_stage,6144,decxthr,0.05,1,,71,1,70,14,0.0141,0.0667,0.0233
two_stage,6144,decxthr,0.05,2,,83,1,82,14,0.012,0.0667,0.0204
two_stage,6144,decxthr,0.05,3,,84,1,83,14,0.0119,0.0667,0.0202
two_stage,6144,decxthr,0.05,5,,84,1,83,14,0.0119,0.0667,0.0202
two_stage,6144,decxthr,0.06,1,,3,0,3,15,0.0,0.0,0.0
two_stage,6144,decxthr,0.06,2,,3,0,3,15,0.0,0.0,0.0
two_stage,6144,decxthr,0.06,3,,3,0,3,15,0.0,0.0,0.0
two_stage,6144,decxthr,0.06,5,,3,0,3,15,0.0,0.0,0.0
logit_only,6144,decxthr,0.01,,,16358,15,16343,0,0.0009,1.0,0.0018
logit_only,6144,decxthr,0.02,,,6431,15,6416,0,0.0023,1.0,0.0047
logit_only,6144,decxthr,0.03,,,2134,14,2120,1,0.0066,0.9333,0.013
logit_only,6144,decxthr,0.04,,,618,12,606,3,0.0194,0.8,0.0379
logit_only,6144,decxthr,0.05,,,84,1,83,14,0.0119,0.0667,0.0202
logit_only,6144,decxthr,0.06,,,3,0,3,15,0.0,0.0,0.0
topk_only,6144,decxthr,,1,,300,6,294,9,0.02,0.4,0.0381
