condition,volume,q_bar,margin,seed,alarm_fired,alarm_index,t_damage,lead_time,miss,baseline_q,k_used
adversarial,50,0.6,0.08,6050018,True,99,358,259,False,0.9287,0.8487
adversarial,50,0.6,0.08,6050019,True,220,231,11,False,0.7225,0.6425
adversarial,50,0.6,0.08,6050020,False,,240,,True,0.4925,0.4125
adversarial,50,0.6,0.08,6050021,True,482,484,2,False,0.6662,0.5862
adversarial,50,0.6,0.08,6050022,False,,,,,0.5535,0.4735
adversarial,50,0.6,0.08,6050023,False,,,,,0.6161,0.5361
adversarial,50,0.6,0.08,6050024,False,,491,,True,0.5692,0.4892
adversarial,50,0.6,0.08,6050025,True,198,178,-20,True,0.6961,0.6161
adversarial,50,0.6,0.08,6050026,False,,161,,True,0.6669,0.5869
adversarial,50,0.6,0.08,6050027,True,267,463,196,False,0.7543,0.6743
adversarial,50,0.6,0.08,6050028,True,83,,,,0.8135,0.7335
adversarial,50,0.6,0.08,6050029,True,102,441,339,False,0.6932,0.6132
adversarial,50,0.6,0.1,6050000,False,,150,,True,0.6016,0.5016
adversarial,50,0.6,0.1,6050001,False,,414,,True,0.4629,0.3629
adversarial,50,0.6,0.1,6050002,False,,,,,0.6167,0.5167
adversarial,50,0.6,0.1,6050003,False,,,,,0.7276,0.6276
adversarial,50,0.6,0.1,6050004,False,,,,,0.6426,0.5426
adversarial,50,0.6,0.1,6050005,True,115,,,,0.8262,0.7262
adversarial,50,0.6,0.1,6050006,False,,324,,True,0.5716,0.4716
adversarial,50,0.6,0.1,6050007,False,,203,,True,0.5735,0.4735
adversarial,50,0.6,0.1,6050008,False,,146,,True,0.6944,0.5944
adversarial,50,0.6,0.1,6050009,False,,,,,0.6788,0.5788
adversarial,50,0.6,0.1,6050010,False,,,,,0.7048,0.6048
adversarial,50,0.6,0.1,6050011,False,,148,,True,0.6626,0.5626
adversarial,50,0.6,0.1,6050012,False,,349,,True,0.7021,0.6021
adversarial,50,0.6,0.1,6050013,True,140,,,,0.7895,0.6895
adversarial,50,0.6,0.1,6050014,False,,172,,True,0.6080,0.5080
adversarial,50,0.6,0.1,6050015,False,,187,,True,0.6324,0.5324
