condition,noise_level,lambda,seed,accuracy,ece,acc_credential_access,acc_threat_intel_match,acc_lateral_movement,acc_data_exfiltration,acc_insider_threat
noise_50pct,0.5,0.3,123,65.8,0.231029,68.8172,80.3738,67.0,58.1633,53.9216
noise_50pct,0.5,0.3,456,82.6,0.112583,79.7872,100.0,75.4717,85.1064,70.8333
noise_50pct,0.5,0.3,789,63.6,0.237091,70.9091,55.0459,79.6117,63.0952,47.8723
noise_50pct,0.5,0.3,1024,52.8,0.37066,80.0,52.0,47.4138,13.6364,67.033
noise_50pct,0.5,0.3,2048,62.2,0.264332,83.908,45.098,58.4906,56.8627,69.9029
noise_50pct,0.5,0.3,3072,59.6,0.290551,82.0755,48.5714,69.0,34.5238,59.0476
noise_50pct,0.5,0.3,4096,36.4,0.521463,34.9515,64.2105,29.2135,7.1429,45.2174
noise_50pct,0.5,0.3,5120,65.6,0.244485,55.2381,94.5055,70.3704,56.044,54.2857
noise_50pct,0.5,0.3,6144,54.6,0.319498,62.1622,45.5696,50.9804,47.5248,63.5514
noise_50pct,0.5,0.5,42,52.6,0.391395,24.1071,69.0476,83.6538,54.2056,35.4839
noise_50pct,0.5,0.5,123,63.0,0.258967,66.6667,71.9626,65.0,58.1633,52.9412
noise_50pct,0.5,0.5,456,83.4,0.102343,81.9149,100.0,76.4151,84.0426,72.9167
noise_50pct,0.5,0.5,789,63.2,0.249785,70.9091,55.9633,74.7573,63.0952,50.0
noise_50pct,0.5,0.5,1024,48.6,0.417443,77.1429,42.0,47.4138,9.0909,62.6374
noise_50pct,0.5,0.5,2048,60.8,0.273622,83.908,40.1961,58.4906,57.8431,66.9903
noise_50pct,0.5,0.5,3072,56.6,0.307408,79.2453,49.5238,68.0,33.3333,48.5714
noise_50pct,0.5,0.5,4096,34.2,0.548122,34.9515,61.0526,28.0899,2.0408,43.4783
noise_50pct,0.5,0.5,5120,65.8,0.241548,60.0,90.1099,70.3704,56.044,54.2857
noise_50pct,0.5,0.5,6144,53.4,0.333656,62.1622,37.9747,50.9804,47.5248,63.5514
noise_25pct,0.25,0.0,42,78.0,0.111952,50.8929,95.2381,92.3077,85.0467,70.9677
noise_25pct,0.25,0.0,123,87.4,0.035889,91.3978,99.0654,91.0,77.551,77.451
noise_25pct,0.25,0.0,456,92.4,0.033949,96.8085,100.0,81.1321,88.2979,95.8333
noise_25pct,0.25,0.0,789,79.8,0.115861,82.7273,70.6422,94.1748,79.7619,71.2766
noise_25pct,0.25,0.0,1024,77.4,0.121043,94.2857,96.0,61.2069,40.9091,93.4066
noise_25pct,0.25,0.0,2048,87.4,0.023588,95.4023,91.1765,72.6415,85.2941,94.1748
noise_25pct,0.25,0.0,3072,80.0,0.084171,89.6226,70.4762,67.0,77.381,94.2857
noise_25pct,0.25,0.0,4096,82.6,0.031714,85.4369,96.8421,62.9213,74.4898,90.4348
noise_25pct,0.25,0.0,5120,81.8,0.067481,79.0476,98.9011,87.037,67.033,77.1429
noise_25pct,0.25,0.0,6144,75.2,0.103767,79.2793,82.2785,71.5686,56.4356,86.9159
noise_25pct,0.25,0.05,42,78.0,0.109806,50.8929,95.2381,92.3077,85.0467,70.9677
noise_25pct,0.25,0.05,123,87.4,0.035959,91.3978,99.0654,91.0,77.551,77.451
noise_25pct,0.25,0.05,456,92.6,0.036791,96.8085,100.0,82.0755,88.2979,95.8333
noise_25pct,0.25,0.05,789,79.8,0.112547,82.7273,70.6422,94.1748,79.7619,71.2766
noise_25pct,0.25,0.05,1024,77.4,0.120797,94.2857,96.0,61.2069,40.9091,93.4066
noise_25pct,0.25,0.05,2048,87.4,0.023614,95.4023,91.1765,72.6415,85.2941,94.1748
noise_25pct,0.25,0.05,3072,80.0,0.084134,89.6226,70.4762,67.0,77.381,94.2857
noise_25pct,0.25,0.05,4096,82.6,0.033628,85.4369,96.8421,62.9213,74.4898,90.4348
noise_25pct,0.25,0.05,5120,81.8,0.067585,79.0476,98.9011,87.037,67.033,77.1429
noise_25pct,0.25,0.05,6144,75.2,0.103683,79.2793,82.2785,71.5686,56.4356,86.9159
noise_25pct,0.25,0.1,42,78.2,0.098611,51.7857,95.2381,92.3077,85.0467,70.9677
noise_25pct,0.25,0.1,123,87.4,0.035744,91.3978,99.0654,91.0,77.551,77.451
noise_25pct,0.25,0.1,456,92.4,0.03202,96.8085,100.0,81.1321,88.2979,95.8333
noise_25pct,0.25,0.1,789,79.6,0.116386,82.7273,70.6422,93.2039,79.7619,71.2766
noise_25pct,0.25,0.1,1024,77.4,0.119896,94.2857,96.0,61.2069,40.9091,93.4066
noise_25pct,0.25,0.1,2048,87.4,0.023668,95.4023,91.1765,72.6415,85.2941,94.1748
noise_25pct,0.25,0.1,3072,80.0,0.084001,89.6226,70.4762,67.0,77.381,94.2857
noise_25pct,0.25,0.1,4096,82.6,0.033104,85.4369,96.8421,62.9213,74.4898,90.4348
noise_25pct,0.25,0.1,5120,81.8,0.06788,79.0476,98.9011,87.037,67.033,77.1429
noise_25pct,0.25,0.1,6144,75.2,0.101397,79.2793,82.2785,71.5686,56.4356,86.9159
noise_25pct,0.25,0.2,42,79.4,0.074571,57.1429,95.2381,92.3077,85.9813,69.8925
noise_25pct,0.25,0.2,123,87.0,0.037141,89.2473,99.0654,91.0,77.551,77.451
noise_25pct,0.25,0.2,456,92.4,0.038072,96.8085,100.0,81.1321,88.2979,95.8333
noise_25pct,0.25,0.2,789,79.6,0.116794,82.7273,70.6422,93.2039,79.7619,71.2766
noise_25pct,0.25,0.2,1024,77.2,0.117441,94.2857,93.0,61.2069,40.9091,95.6044
noise_25pct,0.25,0.2,2048,87.4,0.022089,95.4023,91.1765,72.6415,85.2941,94.1748
noise_25pct,0.25,0.2,3072,80.0,0.084061,89.6226,70.4762,67.0,77.381,94.2857
noise_25pct,0.25,0.2,4096,82.8,0.033726,86.4078,96.8421,62.9213,74.4898,90.4348
noise_25pct,0.25,0.2,5120,82.0,0.067032,80.0,98.9011,87.037,67.033,77.1429
noise_25pct,0.25,0.2,6144,75.2,0.101123,79.2793,82.2785,71.5686,56.4356,86.9159
noise_25pct,0.25,0.3,42,83.6,0.047435,75.8929,95.2381,92.3077,85.9813,69.8925
noise_25pct,0.25,0.3,123,86.6,0.039027,87.0968,99.0654,91.0,77.551,77.451
noise_25pct,0.25,0.3,456,92.6,0.030466,96.8085,100.0,82.0755,88.2979,95.8333
noise_25pct,0.25,0.3,789,78.8,0.11904,82.7273,70.6422,90.2913,79.7619,70.2128
noise_25pct,0.25,0.3,1024,74.8,0.132782,94.2857,81.0,61.2069,40.9091,95.6044
noise_25pct,0.25,0.3,2048,87.4,0.026909,95.4023,91.1765,72.6415,85.2941,94.1748
noise_25pct,0.25,0.3,3072,80.0,0.083747,89.6226,70.4762,67.0,77.381,94.2857
noise_25pct,0.25,0.3,4096,82.2,0.039402,86.4078,96.8421,62.9213,72.449,89.5652
noise_25pct,0.25,0.3,5120,82.2,0.066247,80.9524,98.9011,87.037,67.033,77.1429
noise_25pct,0.25,0.3,6144,74.8,0.109798,77.4775,82.2785,71.5686,56.4356,86.9159
noise_25pct,0.25,0.5,42,85.2,0.041914,91.9643,90.4762,89.4231,85.0467,67.7419
noise_25pct,0.25,0.5,123,85.6,0.040707,83.871,96.2617,91.0,77.551,78.4314
noise_25pct,0.25,0.5,456,92.4,0.038753,97.8723,100.0,79.2453,88.2979,96.875
noise_25pct,0.25,0.5,789,77.2,0.124314,81.8182,70.6422,84.466,79.7619,69.1489
noise_25pct,0.25,0.5,1024,70.0,0.172611,93.3333,61.0,61.2069,37.5,95.6044
noise_25pct,0.25,0.5,2048,85.0,0.037299,95.4023,85.2941,72.6415,83.3333,90.2913
noise_25pct,0.25,0.5,3072,79.4,0.085312,86.7925,70.4762,67.0,77.381,94.2857
noise_25pct,0.25,0.5,4096,80.0,0.071113,93.2039,94.7368,62.9213,59.1837,86.9565
noise_25pct,0.25,0.5,5120,82.2,0.068047,81.9048,97.8022,87.037,67.033,77.1429
noise_25pct,0.25,0.5,6144,73.2,0.129167,70.2703,82.2785,71.5686,56.4356,86.9159
warm_start,0.0,0.0,42,97.8,0.050828,100.0,100.0,95.1923,94.3925,100.0
warm_start,0.0,0.0,123,97.8,0.048396,97.8495,100.0,98.0,92.8571,100.0
warm_start,0.0,0.0,456,96.8,0.053321,97.8723,100.0,96.2264,89.3617,100.0
warm_start,0.0,0.0,789,96.8,0.051794,98.1818,98.1651,97.0874,90.4762,98.9362
warm_start,0.0,0.0,1024,96.6,0.053916,99.0476,99.0,92.2414,93.1818,100.0
warm_start,0.0,0.0,2048,95.6,0.042512,100.0,100.0,89.6226,92.1569,97.0874
warm_start,0.0,0.0,3072,96.6,0.048068,98.1132,98.0952,94.0,91.6667,100.0
warm_start,0.0,0.0,4096,96.6,0.036007,98.0583,98.9474,94.382,91.8367,99.1304
warm_start,0.0,0.0,5120,97.8,0.052966,99.0476,100.0,95.3704,95.6044,99.0476
warm_start,0.0,0.0,6144,96.4,0.053386,98.1982,100.0,95.098,91.0891,98.1308
warm_start,0.0,0.05,42,97.8,0.050846,100.0,100.0,95.1923,94.3925,100.0
warm_start,0.0,0.05,123,97.8,0.048425,97.8495,100.0,98.0,92.8571,100.0
warm_start,0.0,0.05,456,96.8,0.053319,97.8723,100.0,96.2264,89.3617,100.0
warm_start,0.0,0.05,789,96.8,0.051772,98.1818,98.1651,97.0874,90.4762,98.9362
warm_start,0.0,0.05,1024,96.6,0.053914,99.0476,99.0,92.2414,93.1818,100.0
warm_start,0.0,0.05,2048,95.6,0.042482,100.0,100.0,89.6226,92.1569,97.0874
warm_start,0.0,0.05,3072,96.6,0.048073,98.1132,98.0952,94.0,91.6667,100.0
warm_start,0.0,0.05,4096,96.6,0.036011,98.0583,98.9474,94.382,91.8367,99.1304
warm_start,0.0,0.05,5120,97.8,0.052958,99.0476,100.0,95.3704,95.6044,99.0476
warm_start,0.0,0.05,6144,96.4,0.053363,98.1982,100.0,95.098,91.0891,98.1308
warm_start,0.0,0.1,42,97.8,0.05091,100.0,100.0,95.1923,94.3925,100.0
warm_start,0.0,0.1,123,97.8,0.048537,97.8495,100.0,98.0,92.8571,100.0
warm_start,0.0,0.1,456,96.8,0.053314,97.8723,100.0,96.2264,89.3617,100.0
warm_start,0.0,0.1,789,96.8,0.051711,98.1818,98.1651,97.0874,90.4762,98.9362
warm_start,0.0,0.1,1024,96.6,0.053919,99.0476,99.0,92.2414,93.1818,100.0
warm_start,0.0,0.1,2048,95.6,0.042405,100.0,100.0,89.6226,92.1569,97.0874
warm_start,0.0,0.1,3072,96.6,0.048096,98.1132,98.0952,94.0,91.6667,100.0
warm_start,0.0,0.1,4096,96.6,0.036023,98.0583,98.9474,94.382,91.8367,99.1304
warm_start,0.0,0.1,5120,97.8,0.052942,99.0476,100.0,95.3704,95.6044,99.0476
warm_start,0.0,0.1,6144,96.4,0.053303,98.1982,100.0,95.098,91.0891,98.1308
warm_start,0.0,0.2,42,97.6,0.049221,99.1071,100.0,95.1923,94.3925,100.0
warm_start,0.0,0.2,123,97.8,0.049414,97.8495,100.0,98.0,92.8571,100.0
warm_start,0.0,0.2,456,96.8,0.053348,97.8723,100.0,96.2264,89.3617,100.0
warm_start,0.0,0.2,789,96.8,0.051529,98.1818,98.1651,97.0874,90.4762,98.9362
warm_start,0.0,0.2,1024,96.6,0.05409,99.0476,99.0,92.2414,93.1818,100.0
warm_start,0.0,0.2,2048,95.6,0.044101,100.0,100.0,89.6226,92.1569,97.0874
warm_start,0.0,0.2,3072,96.6,0.050346,98.1132,98.0952,94.0,91.6667,100.0
warm_start,0.0,0.2,4096,96.6,0.036119,98.0583,98.9474,94.382,91.8367,99.1304
warm_start,0.0,0.2,5120,97.8,0.052993,99.0476,100.0,95.3704,95.6044,99.0476
