distribution,kernel,kernel_rank,seed,checkpoint,cumulative_gt_accuracy
mixed_scale,dot,worst,456,1000,0.367
mixed_scale,dot,worst,789,100,0.54
mixed_scale,dot,worst,789,200,0.445
mixed_scale,dot,worst,789,400,0.4175
mixed_scale,dot,worst,789,700,0.4
mixed_scale,dot,worst,789,1000,0.398
mixed_scale,dot,worst,1024,100,0.41
mixed_scale,dot,worst,1024,200,0.45
mixed_scale,dot,worst,1024,400,0.43
mixed_scale,dot,worst,1024,700,0.45
mixed_scale,dot,worst,1024,1000,0.441
mixed_scale,dot,worst,2048,100,0.46
mixed_scale,dot,worst,2048,200,0.4
mixed_scale,dot,worst,2048,400,0.3925
mixed_scale,dot,worst,2048,700,0.4014285714285714
mixed_scale,dot,worst,2048,1000,0.388
mixed_scale,dot,worst,3072,100,0.51
mixed_scale,dot,worst,3072,200,0.42
mixed_scale,dot,worst,3072,400,0.405
mixed_scale,dot,worst,3072,700,0.3914285714285714
mixed_scale,dot,worst,3072,1000,0.381
mixed_scale,dot,worst,4096,100,0.38
mixed_scale,dot,worst,4096,200,0.37
mixed_scale,dot,worst,4096,400,0.365
mixed_scale,dot,worst,4096,700,0.36857142857142855
mixed_scale,dot,worst,4096,1000,0.358
mixed_scale,dot,worst,5120,100,0.49
mixed_scale,dot,worst,5120,200,0.5
mixed_scale,dot,worst,5120,400,0.4375
mixed_scale,dot,worst,5120,700,0.42714285714285716
mixed_scale,dot,worst,5120,1000,0.397
mixed_scale,dot,worst,6144,100,0.4
mixed_scale,dot,worst,6144,200,0.38
mixed_scale,dot,worst,6144,400,0.405
mixed_scale,dot,worst,6144,700,0.38571428571428573
mixed_scale,dot,worst,6144,1000,0.38
