method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
random_policy,1024,1000,0.243,0.238,0.267857,0.290909,0.229412,0.220183
random_policy,1024,2000,0.245,0.247,0.254019,0.281818,0.241481,0.226608
random_policy,1024,5000,0.2438,0.243,0.235583,0.261557,0.253172,0.230094
random_policy,2048,50,0.3,0.3,0.125,0.625,0.466667,0.105263
random_policy,2048,100,0.25,0.2,0.125,0.5,0.3,0.138889
random_policy,2048,200,0.265,0.28,0.129032,0.333333,0.363636,0.180328
random_policy,2048,500,0.258,0.253333,0.175676,0.27551,0.339286,0.2
random_policy,2048,1000,0.25,0.242,0.215686,0.259459,0.294118,0.214286
random_policy,2048,2000,0.2425,0.235,0.23053,0.254902,0.271237,0.211982
random_policy,2048,5000,0.2484,0.252333,0.236211,0.261261,0.261418,0.234201
random_policy,3072,50,0.28,0.28,0.454545,0.2,0.3,0.142857
random_policy,3072,100,0.32,0.36,0.423077,0.454545,0.277778,0.222222
random_policy,3072,200,0.265,0.21,0.444444,0.375,0.222222,0.15
random_policy,3072,500,0.26,0.256667,0.321839,0.2875,0.234177,0.24
random_policy,3072,1000,0.261,0.262,0.297753,0.289157,0.226866,0.261682
random_policy,3072,2000,0.249,0.237,0.270349,0.268437,0.237342,0.239416
random_policy,3072,5000,0.2536,0.256667,0.260669,0.268018,0.246515,0.24895
random_policy,4096,50,0.16,0.16,0.142857,0.125,0.1875,0.157895
random_policy,4096,100,0.2,0.24,0.142857,0.357143,0.1875,0.175
random_policy,4096,200,0.205,0.21,0.21875,0.307692,0.171429,0.194444
random_policy,4096,500,0.228,0.243333,0.168831,0.268657,0.218085,0.25
random_policy,4096,1000,0.236,0.244,0.226415,0.233129,0.232143,0.245614
random_policy,4096,2000,0.252,0.268,0.23676,0.283747,0.250377,0.243492
random_policy,4096,5000,0.251,0.250333,0.238824,0.257951,0.253804,0.250905
random_policy,5120,50,0.26,0.26,0.0,0.222222,0.333333,0.285714
random_policy,5120,100,0.24,0.22,0.125,0.176471,0.275,0.296296
random_policy,5120,200,0.24,0.24,0.212121,0.212121,0.283784,0.216667
random_policy,5120,500,0.26,0.273333,0.219512,0.25,0.299435,0.242424
random_policy,5120,1000,0.256,0.252,0.235632,0.22807,0.271084,0.266254
random_policy,5120,2000,0.2475,0.239,0.255072,0.219941,0.255319,0.25
random_policy,5120,5000,0.251,0.253333,0.260976,0.251442,0.243797,0.252792
random_policy,6144,50,0.26,0.26,0.181818,0.428571,0.333333,0.176471
random_policy,6144,100,0.23,0.2,0.076923,0.307692,0.310345,0.25
random_policy,6144,200,0.25,0.27,0.214286,0.16,0.283582,0.272727
random_policy,6144,500,0.258,0.263333,0.239583,0.273973,0.277108,0.242424
random_policy,6144,1000,0.246,0.234,0.254144,0.222973,0.247678,0.25
random_policy,6144,2000,0.2445,0.243,0.240223,0.234323,0.251515,0.244477
random_policy,6144,5000,0.2498,0.253333,0.246828,0.232298,0.263675,0.246326
periodic_retrain,42,50,0.3,0.3,0.125,0.25,0.304348,0.4
periodic_retrain,42,100,0.37,0.44,0.055556,0.076923,0.617021,0.272727
periodic_retrain,42,200,0.47,0.57,0.222222,0.038462,0.767442,0.365385
periodic_retrain,42,500,0.596,0.68,0.452632,0.109756,0.80791,0.705479
periodic_retrain,42,1000,0.593,0.59,0.588235,0.05625,0.693939,0.758514
periodic_retrain,42,2000,0.5675,0.542,0.552561,0.148148,0.621495,0.728507
periodic_retrain,42,5000,0.5542,0.545333,0.578161,0.127635,0.580292,0.738358
periodic_retrain,123,50,0.32,0.32,0.375,0.2,0.235294,0.6
periodic_retrain,123,100,0.37,0.42,0.384615,0.115385,0.151515,0.857143
periodic_retrain,123,200,0.445,0.52,0.357143,0.325581,0.25,0.786885
periodic_retrain,123,500,0.546,0.613333,0.421687,0.234694,0.634286,0.722222
periodic_retrain,123,1000,0.537,0.528,0.461078,0.233333,0.504399,0.788462
periodic_retrain,123,2000,0.539,0.541,0.482558,0.166163,0.573171,0.718984
