method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
periodic_retrain,4096,5000,0.531,0.54,0.590588,0.113074,0.531954,0.71351
periodic_retrain,5120,50,0.28,0.28,0.0,0.0,0.142857,0.785714
periodic_retrain,5120,100,0.36,0.44,0.125,0.0,0.35,0.740741
periodic_retrain,5120,200,0.41,0.46,0.242424,0.060606,0.310811,0.816667
periodic_retrain,5120,500,0.536,0.62,0.463415,0.078947,0.519774,0.8
periodic_retrain,5120,1000,0.537,0.538,0.649425,0.05848,0.533133,0.733746
periodic_retrain,5120,2000,0.528,0.519,0.562319,0.067449,0.594225,0.682927
periodic_retrain,5120,5000,0.5388,0.546,0.537805,0.134948,0.549007,0.73545
periodic_retrain,6144,50,0.26,0.26,0.0,0.571429,0.266667,0.294118
periodic_retrain,6144,100,0.31,0.36,0.038462,0.307692,0.448276,0.40625
periodic_retrain,6144,200,0.425,0.54,0.357143,0.24,0.313433,0.651515
periodic_retrain,6144,500,0.558,0.646667,0.645833,0.191781,0.463855,0.763636
periodic_retrain,6144,1000,0.55,0.542,0.629834,0.128378,0.52322,0.712644
periodic_retrain,6144,2000,0.5645,0.579,0.653631,0.066007,0.569697,0.734904
periodic_retrain,6144,5000,0.5596,0.556333,0.622837,0.100621,0.562385,0.741917
symmetric,42,50,0.4,0.4,0.125,0.0,0.521739,0.466667
symmetric,42,100,0.44,0.48,0.055556,0.0,0.765957,0.318182
symmetric,42,200,0.415,0.39,0.027778,0.0,0.872093,0.134615
symmetric,42,500,0.394,0.38,0.010526,0.0,0.898305,0.253425
symmetric,42,1000,0.433,0.472,0.005348,0.0,0.669697,0.653251
symmetric,42,2000,0.419,0.405,0.03504,0.0,0.428349,0.829563
symmetric,42,5000,0.4076,0.4,0.13908,0.0,0.244526,0.928309
symmetric,123,50,0.22,0.22,0.125,0.066667,0.0,0.9
symmetric,123,100,0.29,0.36,0.076923,0.038462,0.0,0.964286
symmetric,123,200,0.31,0.33,0.035714,0.023256,0.0,0.983607
symmetric,123,500,0.312,0.313333,0.012048,0.010204,0.062857,0.993056
symmetric,123,1000,0.361,0.41,0.011976,0.005556,0.140762,0.99359
symmetric,123,2000,0.395,0.429,0.02907,0.003021,0.170732,0.99701
symmetric,123,5000,0.3898,0.386333,0.090164,0.00114,0.143208,0.997564
symmetric,456,50,0.26,0.26,0.0,0.090909,0.631579,0.0
symmetric,456,100,0.32,0.38,0.0,0.055556,0.742857,0.151515
symmetric,456,200,0.375,0.43,0.0,0.097561,0.758065,0.358209
symmetric,456,500,0.378,0.38,0.0,0.041667,0.35443,0.75
symmetric,456,1000,0.361,0.344,0.0,0.020725,0.178344,0.875
symmetric,456,2000,0.365,0.369,0.033445,0.011173,0.091757,0.938571
symmetric,456,5000,0.3694,0.372333,0.099626,0.00451,0.071163,0.972845
symmetric,789,50,0.32,0.32,0.333333,0.0,0.277778,0.470588
symmetric,789,100,0.37,0.42,0.1875,0.0,0.15625,0.763158
symmetric,789,200,0.375,0.38,0.090909,0.0,0.076923,0.881579
symmetric,789,500,0.348,0.33,0.038835,0.0,0.105263,0.944099
