condition,eta,eta_neg,noise_rate,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider,mean_profile_drift,mean_profile_separation
centroid_only,0.0,0.0,0.0,789,200,0.995,1.0,1.0,1.0,1.0,0.972972972972973,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,789,400,0.9875,1.0,1.0,0.9722222222222222,1.0,0.96,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,789,700,0.9871428571428571,0.9932432432432432,0.9933774834437086,0.9689922480620154,1.0,0.9782608695652174,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,789,1000,0.986,0.9951456310679612,0.9872881355932204,0.9615384615384616,1.0,0.9847715736040609,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,1024,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,1024,100,0.98,1.0,0.96,1.0,1.0,0.9545454545454546,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,1024,200,0.985,0.9767441860465116,0.9743589743589743,1.0,1.0,0.975609756097561,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,1024,400,0.9825,0.9861111111111112,0.9876543209876543,0.989010989010989,0.9871794871794872,0.9615384615384616,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,1024,700,0.9828571428571429,0.9919354838709677,0.9928057553956835,0.9763313609467456,0.9926470588235294,0.9621212121212122,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,1024,1000,0.981,0.9945054945054945,0.990521327014218,0.9755102040816327,0.9894179894179894,0.953757225433526,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,2048,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,2048,100,0.99,1.0,1.0,1.0,1.0,0.9655172413793104,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,2048,200,0.98,0.9459459459459459,1.0,0.9705882352941176,1.0,0.9803921568627451,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,2048,400,0.9825,0.974025974025974,0.987012987012987,0.9722222222222222,1.0,0.9764705882352941,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,2048,700,0.9828571428571429,0.9851851851851852,0.9848484848484849,0.965034965034965,1.0,0.9787234042553191,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,2048,1000,0.98,0.984375,0.9746192893401016,0.964824120603015,1.0,0.9752475247524752,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,3072,50,0.98,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,3072,100,0.99,1.0,1.0,0.9523809523809523,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,3072,200,0.99,0.975,1.0,0.972972972972973,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,3072,400,0.985,0.9714285714285714,0.9873417721518988,0.9746835443037974,1.0,0.9900990099009901,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,3072,700,0.9814285714285714,0.984251968503937,0.986013986013986,0.9705882352941176,0.9922480620155039,0.9757575757575757,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,3072,1000,0.981,0.984375,0.9855072463768116,0.9644670050761421,0.9945054945054945,0.9774774774774775,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,4096,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
