day,n_seeds,gap_mean,ci95_low,ci95_high
40,30,-0.22049,-0.22071174640114016,-0.22026825359885982
41,30,-0.22188666666666668,-0.22211553695972264,-0.22165779637361072
42,30,-0.22319000000000003,-0.22342603040720077,-0.22295396959279928
43,30,-0.2243966666666667,-0.22463596091241325,-0.22415737242092013
44,30,-0.22551,-0.2257614176620965,-0.22525858233790347
45,30,-0.22654,-0.2267975111725613,-0.22628248882743868
46,30,-0.22389333333333333,-0.2241691162684809,-0.22361755039818576
47,30,-0.21791666666666665,-0.21826337711731725,-0.21756995621601605
48,30,-0.20911666666666667,-0.20956529914399008,-0.20866803418934327
49,30,-0.19791666666666663,-0.1984872857227784,-0.19734604761055485
50,30,-0.18474333333333334,-0.18545057755014555,-0.18403608911652114
51,30,-0.16991333333333333,-0.17075390383115774,-0.16907276283550893
52,30,-0.15367333333333333,-0.15464344284999398,-0.15270322381667267
53,30,-0.13623,-0.13733065405380868,-0.1351293459461913
54,30,-0.11777666666666665,-0.11899679788740172,-0.11655653544593159
55,30,-0.09848666666666665,-0.0998214433012202,-0.09715189003211311
56,30,-0.08207,-0.08346685324379047,-0.08067314675620954
57,30,-0.06835999999999999,-0.06977145543986887,-0.0669485445601311
58,30,-0.05686666666666666,-0.05825139206162086,-0.055481941271712465
59,30,-0.04725333333333333,-0.048588614167289414,-0.04591805249937724
60,30,-0.03923000000000001,-0.04049575583220992,-0.037964244167790095
61,30,-0.03250666666666669,-0.03369636161941972,-0.03131697171391366
62,30,-0.02687666666666667,-0.027980266847056994,-0.025773066486276346
63,30,-0.022203333333333356,-0.02322399430814546,-0.021182672358521254
64,30,-0.01829000000000001,-0.019219740169263057,-0.017360259830736965
65,30,-0.015029999999999995,-0.015871737506882352,-0.014188262493117637
66,30,-0.012316666666666665,-0.013079031178743506,-0.011554302154589824
67,30,-0.010053333333333336,-0.010742818565068361,-0.00936384810159831
68,30,-0.008180000000000005,-0.008799526769032801,-0.007560473230967208
69,30,-0.006626666666666651,-0.007182245199215991,-0.0060710881341173115
70,30,-0.005323333333333314,-0.005819360793880669,-0.004827305872785959
71,30,-0.004246666666666665,-0.004690195604889048,-0.0038031377284442817
72,30,-0.003369999999999999,-0.0037634872078724383,-0.0029765127921275595
73,30,-0.0026399999999999943,-0.0029860881662451943,-0.0022939118337547944
74,30,-0.0020333333333333314,-0.0023417719672309914,-0.0017248946994356717
75,30,-0.001556666666666669,-0.0018258771115713677,-0.0012874562217619705
76,30,-0.0011533333333333359,-0.00138883011504954,-0.0009178365516171316
77,30,-0.0008266666666666755,-0.0010381094134690077,-0.0006152239198643434
78,30,-0.0005566666666666757,-0.00074571984960987,-0.00036761348372348133
79,30,-0.00032999999999999696,-0.0004950082783326874,-0.00016499172166730647
80,30,-0.0001866666666666572,-0.00032663458235179885,-4.669875098151552e-05
81,30,-2.6666666666674832e-05,-0.00015067958979409342,9.734625646074375e-05
82,30,7.333333333332155e-05,-3.450432825688765e-05,0.00018117099492353074
83,30,0.00014666666666666902,5.429456004159397e-05,0.00023903877329174407
84,30,0.0002166666666666724,0.00013635016806467194,0.0002969831652686729
85,30,0.00027333333333332915,0.00019934201663396903,0.0003473246500326893
86,30,0.00028333333333333915,0.00021749096264009313,0.00034917570402658515
87,30,0.0003266666666666677,0.0002687081230537795,0.0003846252102795559
88,30,0.0003466666666666803,0.0003031056832179422,0.00039022765011541836
89,30,0.0003466666666666618,0.00030422377349922865,0.00038910955983409494
90,30,0.00034333333333334733,0.0003032799816846505,0.00038338668498204417
